job_title,company_name,location,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry
Junior/Entry Level Data Scientist,SynergisticIT,"Boston, MA",2 months ago,84 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Machine Learning Research Engineer,MindTech,"Boston, MA",3 days ago,117 applicants,"$250,000.00/yr - $300,000.00/yr",Director,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Biological Data Scientist,Rancho BioSciences,"Boston, MA",2 weeks ago,,"$90,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Research Services
ML Engineer,Sanofi,"Cambridge, MA",2 weeks ago,,"$130,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Pharmaceutical Manufacturing, Chemical Manufacturing, and Biotechnology Research"
"Data Scientist, Computational Biology",Repertoire Immune Medicines,"Cambridge, MA",1 week ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Biotechnology Research
Data Science Graduate,Hewlett Packard Enterprise,"Andover, MA",2 weeks ago,127 applicants,"$100,000.00/yr - $130,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Science Graduate,Hewlett Packard Enterprise,"Andover, MA",2 weeks ago,127 applicants,"$58,500.00/yr - $135,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Scientist– Artificial Intelligence/Machine Learning (AI/ML) for Human Health and Performance,"Vivonics, Inc.","Bedford, MA",4 days ago,44 applicants,"$170,000.00/yr - $230,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Biotechnology Research and Medical Equipment Manufacturing
AI/ML Engineer,GSK,"Cambridge, MA",2 days ago,143 applicants,"$100,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing
Research Scientist - Optimization & Intelligent Robotics,Mitsubishi Electric Research Laboratories,"Cambridge, MA",10 months ago,74 applicants,"$110,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Other,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer,Boston Quantara,"Boston, MA",3 weeks ago,,"$100,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology and Health Care Provider,"Hospitals and Health Care, Staffing and Recruiting, and Software Development"
Data Scientist,Red Hat,"Boston, MA",2 days ago,178 applicants,"$127,890.00/yr - $211,180.00/yr",Not Applicable,Full-time,Engineering,Software Development and IT Services and IT Consulting
Machine Learning Researcher,CodaMetrix,"Boston, MA",2 weeks ago,63 applicants,"$165,000.00/yr - $250,000.00/yr",Mid-Senior level,Full-time,Other,Internet Publishing
Senior Data Scientist,Alexander Technology Group,"Newburyport, MA",3 days ago,151 applicants,"$100,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,Zelis,"Boston, MA",1 week ago,,"$65,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
"Data Scientist, Product Analytics",Meta,"Austin, TX",,,"$134,000.00/yr - $204,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Scientist,Augment Jobs,"Austin, TX",3 months ago,,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Venture Capital and Private Equity Principals
Data Scientist,Proven Recruiting,"Austin, TX",3 days ago,,"$85,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
"Data Scientist / Senior Data Scientist, Analytics",DoorDash,"Austin, TX",4 days ago,,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
HR Data Scientist,Augment Jobs,"Austin, TX",1 month ago,47 applicants,"$110,000.00/yr - $140,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Financial Services, Information Services, and IT Services and IT Consulting"
Data Scientist,VICTORY,"Austin, TX",5 months ago,68 applicants,"$130,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT System Custom Software Development
HR Data Scientist,Augment Jobs,"Austin, TX",1 week ago,50 applicants,"$80,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Accounting, Consumer Services, and Appliances, Electrical, and Electronics Manufacturing"
Data Scientist,General Motors,"Austin, TX",2 weeks ago,170 applicants,"$140,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Motor Vehicle Manufacturing, Appliances, Electrical, and Electronics Manufacturing, and IT Services and IT Consulting"
Machine Learning Engineer/Python,Accroid Inc,"Austin, TX",5 months ago,,,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
ML Engineer-AI/ML- US,Zortech Solutions,"Austin, TX",1 month ago,,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Senior Fraud Data Scientist,Auctane,"Austin, TX",2 weeks ago,90 applicants,"$90,000.00/yr - $145,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,Publishing.com,"Austin, TX",5 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Data Scientist,Optomi,"Austin, TX",3 weeks ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Scientist,Abbott,"Austin, TX",3 weeks ago,,"$64,000.00/yr - $128,000.00/yr",Associate,Full-time,Research,Hospitals and Health Care
Data Science,Syntricate Technologies,"Austin, TX",2 days ago,,"$120,000.00/yr - $145,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist / Statistician,Wipro,"Austin, TX",3 weeks ago,,"$80,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,"Science, Engineering, and Manufacturing","IT Services and IT Consulting, Manufacturing, and Semiconductor Manufacturing"
Data Scientist,Geosyntec Consultants,"Houston, TX",2 days ago,,"$90,000.00/yr - $140,000.00/yr",Not Applicable,Full-time,"Science, Consulting, and Engineering","Civil Engineering, Environmental Services, and Construction"
Data Scientist,Syntricate Technologies,"Dallas, TX",5 months ago,,,Entry level,Contract,Information Technology,Information Technology & Services
Principal Data Scientist (The Data Whisperer),"Unreal Staffing, Inc","Austin, TX",1 month ago,,"$130,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
AI / ML Engineer,EPSoft,"Plano, TX",3 months ago,142 applicants,"$80,000.00/yr - $135,600.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist - All Levels,Interclypse,"San Antonio, TX",5 days ago,,"$110,000.00/yr - $140,000.00/yr",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,Prospect 33,"Dallas, TX",3 weeks ago,,"$70,000.00/yr - $75,000.00/yr",Associate,Full-time,Information Technology,Financial Services
Data scientist,"Soft Source, Inc","Irving, TX",3 weeks ago,,,Mid-Senior level,Contract,Engineering and Information Technology,Information Services
Data Scientist,Avani Tech Solutions Private Limited,"Dallas, TX",4 months ago,,,Entry level,Contract,Engineering and Information Technology,Software Development
Data Scientist - Optimization,Tiger Analytics,"Dallas, TX",2 months ago,,"$90,000.00/yr - $145,000.00/yr",Mid-Senior level,Full-time,Analyst,Non-profit Organizations and Primary and Secondary Education
AI/ML Engineer,EPSoft,"Dallas, TX",4 months ago,154 applicants,"$80,000.00/yr - $135,600.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
AI/ML Engineer,Syntricate Technologies,"Irving, TX",5 months ago,159 applicants,,Entry level,Contract,Engineering,Information Technology & Services
Data Scientist,"Pyramid Consulting, Inc","Plano, TX",2 months ago,65 applicants,"$120,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Scientist,Atmos Energy,"Dallas, TX",3 days ago,,"$120,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Utilities
Python Machine Learning Engineer,Steneral Consulting,"Malvern, PA",1 week ago,87 applicants,,Mid-Senior level,Contract,Engineering and Information Technology,Software Development
Machine Learning Engineer,Augment Jobs,"Philadelphia, PA",1 week ago,120 applicants,,Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Machine Learning Engineer,Augment Jobs,"Philadelphia, PA",4 months ago,30 applicants,,Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Machine Learning Engineer,Augment Jobs,"Philadelphia, PA",3 weeks ago,93 applicants,,Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Hybrid Work - Need ML Data Scientist in Malvern PA,Steneral Consulting,"Malvern, PA",4 months ago,40 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
"Research Scientist, LC-MS/MS",Proclinical Staffing,"Wilmington, DE",6 days ago,34 applicants,,Mid-Senior level,Full-time,Science,Professional Services
Machine Learning Engineer,Valence,"Philadelphia, PA",4 days ago,36 applicants,,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Principal Data Scientist, Consumer Experience",Gopuff,"Philadelphia, PA",,60 applicants,,Director,Full-time,Engineering and Information Technology,Software Development
AI/ML Engineer,GSK,"Collegeville, PA",2 days ago,88 applicants,"$130,900.00/yr - $177,100.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing
Data Scientist (Division of Biostatistics),University of Pennsylvania,"Philadelphia, PA",2 weeks ago,,,Entry level,Full-time,Engineering and Information Technology,Higher Education
Data Scientist (Division of Biostatistics),University of Pennsylvania,"Philadelphia, PA",2 weeks ago,,"$85,000.00/yr - $120,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Higher Education
Hybrid Work - Need ML Data Scientist in Malvern PA,Steneral Consulting,"Malvern, PA",5 months ago,36 applicants,,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
AI/ML Engineer,GSK,"Collegeville, PA",2 days ago,88 applicants,,Not Applicable,Full-time,Engineering and Information Technology,Pharmaceutical Manufacturing
"Data Scientist, Product",Valence,"Philadelphia, PA",4 days ago,36 applicants,,Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Jr. Data Scientist,"TDI Technologies, Inc","Philadelphia, PA",1 month ago,,,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
Nuuly Data Scientist,Nuuly,"Philadelphia, PA",5 days ago,,,Entry level,Full-time,Engineering and Information Technology,"Retail, Retail Apparel and Fashion, and Consumer Services"
Enterprise Advanced Analytics Data Scientist,Greene Tweed,"Lansdale, PA",3 days ago,,,Mid-Senior level,Full-time,Engineering and Information Technology,Manufacturing
Staff Data Scientist,Noom,"Philadelphia, PA",3 months ago,155 applicants,"$231,000.00/yr - $312,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Wellness and Fitness Services
Data Scientist,"TDI Technologies, Inc","Philadelphia, PA",1 month ago,40 applicants,,Entry level,Full-time,Engineering and Information Technology,Defense and Space Manufacturing
Data Scientist,Indotronix Avani Group,"Pittsburgh, PA",2 days ago,100 applicants,,Mid-Senior level,Contract,"Engineering, Information Technology, and Business Development","Banking, Insurance, and Financial Services"
Senior Data Scientist,Indotronix International Corporation,"Pittsburgh, PA",2 days ago,48 applicants,,Mid-Senior level,Contract,Information Technology,Banking and Financial Services
Machine Learning Developer,Accroid Inc,"Pittsburgh, PA",3 weeks ago,81 applicants,,Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,Search Services,"Allentown, PA",1 week ago,,,Mid-Senior level,Contract,Engineering and Information Technology,Staffing and Recruiting
Data Science ( Data Scientist ),"Conch Technologies, Inc","Raleigh, NC",3 months ago,120 applicants,"$60,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,Geosyntec Consultants,"Raleigh, NC",2 days ago,,"$50,000.00/yr - $80,000.00/yr",Not Applicable,Full-time,"Science, Consulting, and Engineering","Civil Engineering, Environmental Services, and Construction"
Data Science Scientist,TekOne IT Services Pvt. Ltd.,"Durham, NC",2 months ago,,"$90,000.00/yr - $110,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
Data Scientist,"Conch Technologies, Inc","Raleigh, NC",3 months ago,148 applicants,"$60,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Data Scientist,PartnerRe,"Charlotte, NC",1 week ago,,"$90,000.00/yr - $110,000.00/yr",Entry level,Full-time,General Business,Insurance
Data Scientist,InfiCare Staffing,"Raleigh, NC",1 month ago,80 applicants,"$70,000.00/yr - $100,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
Data Scientist,Genesis10,"Charlotte, NC",2 weeks ago,28 applicants,"$90,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
AI/ML Engineer,Ccube,"Matthews, NC",2 months ago,140 applicants,"$110,900.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
Data Scientist,DS Technologies Inc,"Raleigh, NC",1 month ago,181 applicants,"$70,000.00/yr - $80,000.00/yr",Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Field Data Scientist,Howso,"Raleigh, NC",4 months ago,,"$60,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Non-profit Organizations and Primary and Secondary Education
"Software Engineer, Full Stack - Slack (Multiple Levels)",Slack,"Raleigh, NC",1 week ago,,"$90,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Science ( Data Scientist ),"Conch Technologies, Inc","Raleigh, NC",3 months ago,126 applicants,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Business Analyst (Data Governance),Enexus Global Inc.,"San Francisco, CA",3 weeks ago,127 applicants,"$70,000.00/yr - $120,000.00/yr",Associate,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Systems Analyst,Brex,"San Francisco, CA",1 day ago,,"$135,720.00/yr - $169,650.00/yr",Mid-Senior level,Full-time,Information Technology,Financial Services
Statistical Data and Information Analyst,AC Transit,"Oakland, CA",1 week ago,39 applicants,"$90,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Information Technology,Urban Transit Services
"Quantitative Marketing Analyst, Google, Search Marketing",Google,"San Francisco, CA",1 week ago,,"$87,000.00/yr - $128,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet"
"Commercial Pharma Business Analyst I, Information Management",Slipstream IT,"Brisbane, CA",1 week ago,58 applicants,,Entry level,Full-time,Strategy/Planning and Information Technology,IT Services and IT Consulting
Business Analyst,CGS Federal (Contact Government Services),"San Francisco, CA",1 month ago,,"$102,890.67/yr - $139,637.34/yr",Not Applicable,Contract,"Research, Analyst, and Information Technology",Government Relations Services
Business Data Analyst: 24-02768,"Akraya, Inc.","Mountain View, CA",4 days ago,,$70.00/hr - $78.00/hr,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Business Intelligence Analyst,Augment Jobs,"Los Angeles, CA",3 weeks ago,147 applicants,"$75,000.00/yr - $135,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Business Intelligence Analyst,Augment Jobs,"Los Angeles, CA",3 weeks ago,108 applicants,"$75,000.00/yr - $135,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services
Junior Data Analyst,SynergisticIT,"Seattle, WA",2 weeks ago,,"$60,000.00/yr - $90,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst,InterSources Inc,"Seattle, WA",1 month ago,,"$110,000.00/yr - $150,100.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Business Intelligence Analyst,Steneral Consulting,"Bellevue, WA",1 month ago,,,Associate,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Data Governance Manager,OGx,Los Angeles Metropolitan Area,1 week ago,51 applicants,"$105,000.00/yr - $145,000.00/yr",Mid-Senior level,Full-time,"Consulting, Information Technology, and Project Management","Business Consulting and Services, IT Services and IT Consulting, and Data Infrastructure and Analytics"
Data Governance- Regulatory Reporting Consultant - W2 Contract,"MM International, LLC","San Francisco, CA",3 months ago,,"$120,000.00/yr - $140,000.00/yr",Mid-Senior level,Contract,Finance and Sales,Staffing and Recruiting
Data Governance Project Manager,Geopaq Logic Inc,"Irvine, CA",2 weeks ago,,"$120,000.00/yr - $140,000.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Data Governance Practice Lead,Allergan Data Labs,"Irvine, CA",3 weeks ago,63 applicants,"$120,000.00/yr - $140,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Data Governance Data Analyst,Syntricate Technologies,"San Jose, CA",1 day ago,,"$85,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Business Intelligence Analyst,Umanist Staffing,"Chicago, IL",1 week ago,133 applicants,$55.00/hr - $60.00/hr,Entry level,Contract,"Research, Analyst, and Information Technology",Business Consulting and Services
Data Analyst,"Pyramid Consulting, Inc","Chicago, IL",2 months ago,,$45.00/hr - $50.00/hr,Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Reporting Analyst,HatchPros,"Chicago, IL",1 month ago,35 applicants,"$70,000.00/yr - $110,000.00/yr",Associate,Contract,"Research, Analyst, and Information Technology",IT Services and IT Consulting
Bi Analyst,TekOne IT Services Pvt. Ltd.,"Des Plaines, IL",2 months ago,,"$60,000.00/yr - $110,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Human Resources Services
Business Intelligence Developer,University of Utah,"Salt Lake City, UT",4 months ago,126 applicants,"$47,600.00/yr - $84,249.00/yr",Mid-Senior level,Full-time,Information Technology,Higher Education
Junior Data Engineer,Bank of Utah,"Ogden, UT",2 weeks ago,173 applicants,,Mid-Senior level,Full-time,Information Technology,Banking
Business Intelligence Analyst,University of Utah,"Salt Lake City, UT",1 month ago,,,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Business Analyst,LaunchPointPEO,"Ogden, UT",1 week ago,94 applicants,"$79,000.00/yr - $84,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Data Analyst,WeLink,"Lehi, UT",1 month ago,151 applicants,,Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Senior Business Intelligence Analyst (Fully Remote),"Medical Review Institute of America, LLC","Salt Lake City, UT",3 weeks ago,36 applicants,,Not Applicable,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
Business Intelligence Developer (On-Site),Sunwest Bank,"Sandy, UT",2 weeks ago,,"$120,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Information Technology,Banking
"Senior Analyst, Fraud Analytics and Reporting",SoFi,"Cottonwood Heights, UT",3 days ago,139 applicants,"$99,200.00/yr - $186,000.00/yr",Not Applicable,Full-time,Business Development and Sales,Financial Services
Junior BI Analyst,SPECTRAFORCE,"Salt Lake City, UT",4 weeks ago,,,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting
Sr. Data Reporting Analyst,"Hunter Douglas, Inc.","Salt Lake City, UT",4 days ago,107 applicants,"$96,000.00/yr - $108,000.00/yr",Mid-Senior level,Full-time,Information Technology,Manufacturing
Machine Learning Scientist,Qarik Group,"Chicago, IL",1 month ago,128 applicants,"$70,000.00/yr - $120,000.00/yr",Not Applicable,Full-time,Other,IT Services and IT Consulting
Data Scientist,Stripe,"Chicago, IL",1 week ago,,"$146,900.00/yr - $251,200.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet"
Data Scientist,Loyola University Chicago,"Chicago, IL",6 days ago,100 applicants,"$80,000.00/yr - $130,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Higher Education
Jr. Software Engineer,NinjaHoldings,"Chicago, IL",1 month ago,,"$80,000.00/yr - $120,500.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services
Dev10 Entry Level Data Engineer – Nationwide,Genesis10,"Chicago, IL",3 weeks ago,142 applicants,"$50,000.00/yr - $60,000.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Full-Stack Engineer with ML/AI Experience,"Unreal Staffing, Inc","Chicago, IL",5 months ago,39 applicants,"$70,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
"Machine Learning Solutions Engineer, Cloud Learning Services",Google,"Chicago, IL",1 week ago,62 applicants,"$142,000.00/yr - $211,000.00/yr",Not Applicable,Full-time,"Project Management, Consulting, and Engineering","Information Services and Technology, Information and Internet"
Machine Learning Engineer,Two Dots,"Los Angeles, CA",2 months ago,,"$150,000.00/yr - $225,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Machine Learning Engineer,Rebel Space Technologies,"Los Angeles, CA",3 weeks ago,63 applicants,"$110,000.00/yr - $170,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Entry Data Engineer,VideoAmp,"Los Angeles, CA",2 weeks ago,,"$70,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Advertising Services
Machine Learning Model Engineer,Samsung Electronics America,Los Angeles Metropolitan Area,2 days ago,104 applicants,,Entry level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing
Software Engineer (New Grad),Axle Health,"Los Angeles, CA",1 month ago,,"$120,000.00/yr - $140,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Information Technology & Services
Machine Learning Engineer,Rebel Space Technologies,"Los Angeles, CA",3 weeks ago,63 applicants,"$80,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Machine Learning Engineer,Tencent,"Los Angeles, CA",2 months ago,,"$142,800.00/yr - $241,200.00/yr",Entry level,Full-time,"Research, Information Technology, and Engineering",Software Development
Machine Learning Engineer,Rebel Space Technologies,"Long Beach, CA",3 weeks ago,71 applicants,"$110,000.00/yr - $170,000.00/yr",Mid-Senior level,Full-time,Engineering,Non-profit Organizations and Primary and Secondary Education
Machine Learning Model Engineer,Samsung Electronics America,Los Angeles Metropolitan Area,2 weeks ago,86 applicants,,Entry level,Full-time,Engineering and Information Technology,Computers and Electronics Manufacturing
Data Scientist,"Conch Technologies, Inc","Raleigh, NC",3 months ago,148 applicants,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Machine Learning Engineer,CoVar,"Durham, NC",7 months ago,117 applicants,"$90,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
"Software Engineer, Full Stack - Slack (Multiple Levels)",Salesforce,"Raleigh, NC",1 week ago,,"$70,000.00/yr - $120,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,"Software Development, IT Services and IT Consulting, and Technology, Information and Internet"
Machine Learning Engineer (Junior & New Grad),NewsBreak,"Bellevue, WA",7 months ago,,"$125,000.00/yr - $168,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Machine Learning Engineer - Applied AI,Uber,"Seattle, WA",1 week ago,,"$80,000.00/yr - $120,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Internet Marketplace Platforms
"Software Engineer, Search",Rover.com,"Seattle, WA",2 months ago,,"$118,476.00/yr - $152,686.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Consumer Services
Machine Learning Engineer,Atlassian,"Seattle, WA",5 days ago,172 applicants,"$156,000.00/yr - $231,100.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
"Machine Learning Engineer, Payment Intelligence",Stripe,"Seattle, WA",1 week ago,,"$211,200.00/yr - $316,800.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,"Software Development, Financial Services, and Technology, Information and Internet"
"Machine Learning Engineer, Forecast Platform",DoorDash,"Seattle, WA",1 day ago,168 applicants,"$120,000.00/yr - $140,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
"Machine Learning Engineer, Typographic Intelligence",Adobe,"Seattle, WA",4 days ago,,"$90,000.00/yr - $140,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Advertising Services, IT Services and IT Consulting, and Software Development"
Entry Level ML Engineer,SynergisticIT,"Seattle, WA",1 week ago,,"$60,000.00/yr - $90,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Civil Engineering
Data Analyst,Pura,"Pleasant Grove, UT",3 weeks ago,,,Mid-Senior level,Full-time,Information Technology,Internet Publishing
AI/ML Engineer - (Remote),SynergisticIT,"Salt Lake City, UT",1 month ago,27 applicants,,Entry level,Contract,Engineering,IT Services and IT Consulting
Data Scientist/Analyst/Engineer - Entry/junior Level,SynergisticIT,"St George, UT",5 days ago,49 applicants,,Entry level,Contract,Information Technology,IT Services and IT Consulting
Marketing Analyst (Remote),INFUSE,"Salt Lake City, UT",4 months ago,77 applicants,,Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet"
Business Analyst,Safeway,"Pleasanton, CA",1 week ago,,"$120,000.00/yr - $145,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Retail
Business Intelligence Analyst,Longbow Advantage,"Orange County, CA",2 months ago,,"$120,000.00/yr - $145,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
Business Analyst,"American Honda Motor Company, Inc.",Los Angeles Metropolitan Area,6 days ago,,"$86,700.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Analyst and Information Technology,"Technology, Information and Media"
Business Intelligence Analyst,Umanist Staffing,"Los Angeles, CA",1 week ago,125 applicants,$55.00/hr - $60.00/hr,Entry level,Contract,"Research, Analyst, and Information Technology",Business Consulting and Services
Financial Analyst,Visa,"Foster City, CA",2 days ago,160 applicants,"$87,000.00/yr - $128,000.00/yr",Mid-Senior level,Full-time,Accounting/Auditing,IT Services and IT Consulting
"Manager, Business Intelligence",Firework,"San Mateo, CA",3 months ago,94 applicants,"$130,000.00/yr - $140,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Transportation, Logistics, Supply Chain and Storage"
Product Growth Analyst,Meta,"Menlo Park, CA",2 weeks ago,,"$128,000.00/yr - $185,000.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet"
Junior Data Analyst with Power Bi (Local to CA) - W2,"eTek IT Services, Inc.","San Bruno, CA",1 month ago,,$30.00/hr - $35.00/hr,Associate,Contract,Information Technology,Information Technology & Services
Business Intelligence Analyst,Los Angeles Tourism & Convention Board,"Los Angeles, CA",2 weeks ago,,"$80,000.00/yr - $100,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitality
Data Governance Manager,OGx,Los Angeles Metropolitan Area,1 week ago,51 applicants,,Mid-Senior level,Full-time,"Consulting, Information Technology, and Project Management","Business Consulting and Services, IT Services and IT Consulting, and Data Infrastructure and Analytics"
Collibra Analyst,Umanist Staffing,"Los Angeles, CA",6 days ago,,$40.00/hr - $45.00/hr,Entry level,Contract,Business Development and Sales,Business Consulting and Services
Data Governance,Syntricate Technologies,"Foster City, CA",,,"$85,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Information Technology & Services
